"","hsid","mzsplit","mz","intensity","RT.x","peak ID","HS IDs","series level","to ID","m/z increment","RT increment","HS cluster","delta_mz","!ID","!Notes:Name_neutral","!Notes:Formula_Neutral","!Notes:InChI_neutral","!Notes:InChIKey_neutral","!Notes:SMILES_neutral","exactmass","logp","adduct","RT.y"
"1","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_4hglusa_m","L-4-hydroxyglutamic semialdehyde","C5H9NO4","InChI=1S/C5H9NO4/c6-4(5(9)10)1-3(8)2-7/h2-4,8H,1,6H2,(H,9,10)/t3-,4+/m1/s1","XCXUZPXOFFRGGP-DMTCNVIQSA-N","N[C@@H](C[C@@H](O)C=O)C(O)=O",147.053157768,-3.699,"[M+Na]+",1.35091944444444
"2","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_glu__L_e","L-glutamic acid","C5H9NO4","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","WHUUTDBJXJRKMK-VKHMYHEASA-N","N[C@@H](CCC(O)=O)C(O)=O",147.053157768,-3.349,"[M+Na]+",1.57954423076923
"3","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_glu__L_m","L-glutamic acid","C5H9NO4","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","WHUUTDBJXJRKMK-VKHMYHEASA-N","N[C@@H](CCC(O)=O)C(O)=O",147.053157768,-3.349,"[M+Na]+",1.57954423076923
"4","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_acser_e","O-acetyl-L-serine","C5H9NO4","InChI=1S/C5H9NO4/c1-3(7)10-2-4(6)5(8)9/h4H,2,6H2,1H3,(H,8,9)/t4-/m0/s1","VZXPDPZARILFQX-BYPYZUCNSA-N","CC(=O)OC[C@H](N)C(O)=O",147.053157768,-3.216,"[M+Na]+",1.66727307692308
"5","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_4hglusa_c","L-4-hydroxyglutamic semialdehyde","C5H9NO4","InChI=1S/C5H9NO4/c6-4(5(9)10)1-3(8)2-7/h2-4,8H,1,6H2,(H,9,10)/t3-,4+/m1/s1","XCXUZPXOFFRGGP-DMTCNVIQSA-N","N[C@@H](C[C@@H](O)C=O)C(O)=O",147.053157768,-3.699,"[M+Na]+",1.35091944444444
"6","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_acser_c","O-acetyl-L-serine","C5H9NO4","InChI=1S/C5H9NO4/c1-3(7)10-2-4(6)5(8)9/h4H,2,6H2,1H3,(H,8,9)/t4-/m0/s1","VZXPDPZARILFQX-BYPYZUCNSA-N","CC(=O)OC[C@H](N)C(O)=O",147.053157768,-3.216,"[M+Na]+",1.66727307692308
"7","17",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_glu__L_c","L-glutamic acid","C5H9NO4","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","WHUUTDBJXJRKMK-VKHMYHEASA-N","N[C@@H](CCC(O)=O)C(O)=O",147.053157768,-3.349,"[M+Na]+",1.57954423076923
"8","18",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_4hglusa_m","L-4-hydroxyglutamic semialdehyde","C5H9NO4","InChI=1S/C5H9NO4/c6-4(5(9)10)1-3(8)2-7/h2-4,8H,1,6H2,(H,9,10)/t3-,4+/m1/s1","XCXUZPXOFFRGGP-DMTCNVIQSA-N","N[C@@H](C[C@@H](O)C=O)C(O)=O",147.053157768,-3.699,"[M+Na]+",1.35091944444444
"9","18",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_glu__L_e","L-glutamic acid","C5H9NO4","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","WHUUTDBJXJRKMK-VKHMYHEASA-N","N[C@@H](CCC(O)=O)C(O)=O",147.053157768,-3.349,"[M+Na]+",1.57954423076923
"10","18",25.0078,170.042377768,999,1.35091944444444,190,"17/18","1/1","113/113","25.0078/25.0078","0.3222/0.3222","17/18",">21 x <30","M_glu__L_m","L-glutamic acid","C5H9NO4","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","WHUUTDBJXJRKMK-VKHMYHEASA-N","N[C@@H](CCC(O)=O)C(O)=O",147.053157768,-3.349,"[M+Na]+",1.57954423076923
