;mz;intensity;RT.x;peak ID;HS IDs;series level;to ID;m/z increment;RT increment;HS cluster;Row Names;blank_1-A,1_01_11442'' [1];QC_1-A,2_01_11452'' [1];QC_1-A,2_01_11458'' [1];QC_1-A,2_01_11464'' [1];daf-2_001_1-C,1_01_11459'' [1];daf-2_002_1-C,2_01_11456'' [1];daf-2_003_1-C,3_01_11460'' [1];daf-2_004_1-C,4_01_11454'' [1];daf-2_005_1-C,5_01_11463'' [1];N2_001_1-B,1_01_11453'' [1];N2_002_1-B,2_01_11462'' [1];N2_003_1-B,3_01_11461'' [1];N2_004_1-B,4_01_11455'' [1];N2_005_1-B,5_01_11457'' [1];Row;Group;Size;Mass;Charge;RT.y;Base Peak;Adduct;TandemLCpart
1;80.0503058;999;47.08637458;2378;50;1;1650;14.015109;0.0414;50;Cluster_00403;12245.296;3180.7393;2808.3728;3175.399;3877.2864;3937.8380000000002;3513.71;3351.2073;3070.7712000000001;3256.9540000000002;3303.1583999999998;3696.5583000000001;3199.0221999999999;4081.5023999999999;Cluster_00403;2;2;79.0430298;1;47.08637458;641;M+H;RP
2;94.06545103;999;47.14940874;1650;50;2;1110;14.015109;0.0414;50;Cluster_00462;1453.0052000000001;758.12146;510.78708;788.60095;644.51750000000004;467.17624000000001;811.75199999999995;391;954.71190000000001;585.79705999999999;614.7989;688.38054999999997;777.60709999999995;872.25134000000003;Cluster_00462;1123;2;93.05817503;1;47.14940874;1602;M+H;RP
3;108.0804958;999;47.16917216;1110;50;3;0;14.015109;0.0414;50;Cluster_12314;7327.4620000000004;1651.0753;1091.4508;1655.1704;1319.3766000000001;1300.6134999999999;1538.4115999999999;1728.8713;1717.4747;1767.9666;1446.4484;1476.4117000000001;1579.6668999999999;2431.0479999999998;Cluster_12314;1235;2;107.0732198;1;47.16917216;2617;M+H;RP
4;208.1700715;999;38.53415017;1874;108;1;872;18.0101068;5e-04;108;Cluster_01081;2275.5383000000002;1533.4211;1453.5651;1531.8243;1470.6481000000001;1802.3922;1455.4966999999999;1425.5696;1351.6105;1394.2737999999999;1416.2284;1308.9286999999999;1471.5354;1664.1836000000001;Cluster_01081;1978;2;207.1627955;1;38.53415017;8550;M+H;RP
5;211.2055217;999;36.93027428;852;206;1;71;26.0153387;0.3897;206;Cluster_12490;704.18399999999997;1608.0656;1890.7183;1610.1694;1081.0743;847.47064;1190.8882000000001;1088.0211999999999;1102.2915;1018.8436;1065.1398999999999;1167.5142000000001;1281.3447000000001;1707.1355000000001;Cluster_12490;1991;2;210.1982457;1;36.93027428;8657;M+H;RP
6;226.1800732;999;38.53479568;872;108;2;1029;18.0101068;5e-04;108;Cluster_01158;20851.912;10238.365;8760.11;10214.812;10142.958000000001;11634.839;10638.877;10653.7;9269.6290000000008;8955.7240000000002;10029.236000000001;9999.7340000000004;9721.4290000000001;10459.503000000001;Cluster_01158;2073;2;225.1727972;1;38.53479568;9353;M+H;RP
7;229.2156057;999;36.92965925;560;303;1;94;26.0159744;0.396;303;Cluster_01187;2799.8087999999998;4679.055;5208.868;4664.197;2642.1462000000001;2876.9079999999999;3635.7865999999999;3168.4958000000001;3308.0039999999999;2987.8742999999999;3849.4180000000001;3390.4061999999999;3794.8159999999998;4780.5510000000004;Cluster_01187;2108;2;228.2083297;1;36.92965925;9559;M+H;RP
8;237.2207911;999;37.28586762;71;206;2;1829;26.0153387;0.3897;206;Cluster_01230;NaN;1841.1016;2380.7227;1820.9913;1130.6205;1651.855;1992.5944;1342.816;1279.3373999999999;2813.2676000000001;3618.1736000000001;2741.2039;2493.5725000000002;4707.8;Cluster_01230;2162;2;236.2135151;1;37.28586762;9932;M+H;RP
9;239.2362957;999;38.46231708;212;95;1;2981;14.0161371;0.63;95;Cluster_01246;958.32560000000001;8488.251;10771.34;8289.533;2491.0684000000001;3167.1212999999998;2991.7233999999999;3070.8971999999999;4969.7915000000003;4087.5439999999999;6937.4354999999996;4564.0005000000001;5126.875;6393.3266999999996;Cluster_01246;2179;2;238.2290197;1;38.46231708;10037;M+H;RP
10;242.2110627;999;31.16261884;1839;215;1;181;26.0161034;1.05;215;Cluster_12511;NaN;902.6785;893.21173;902.7009;1321.2180000000001;1675.0491999999999;1592.0123000000001;1173.9266;1756.1656;1255.6414;1106.6996999999999;1502.8876;782.03129999999999;2524.2919999999999;Cluster_12511;2193;2;241.2037867;1;31.16261884;10174;M+H;RP
11;244.1903211;999;38.53510296;1029;108;3;0;18.0101068;5e-04;108;Cluster_01279;12345.15;8112.9043;7161.0537;8108.348;7665.7533999999996;8174.1094000000003;8106.7089999999998;7728.7510000000002;7143.2646000000004;7265.2896000000001;7901.2875999999997;7656.2266;7289.2539999999999;7382.9395000000004;Cluster_01279;80;2;243.1830451;1;38.53510296;10310;M+H;RP
12;244.2265276;999;32.51763389;91;99/302;1/1;414/369;14.0163194/26.0161217;0.9382/0.8159;99/302;Cluster_01280;NaN;17925.348;18889.223;17888.87;7677.9062000000004;11995.471;13257.923000000001;10676.992;11309.808000000001;43147.86;24897.276999999998;22359.296999999999;29508.22;60591.476999999999;Cluster_01280;81;3;243.2192516;1;32.51763389;10319;M+H;RP
13;245.2260685;999;37.70918841;1758;110/114;1/1;1829/57;18.0105087/20.0265982;3e-04/1.0062;110/114;Cluster_12519;NaN;1415.0431;1783.8843;1395.2401;720.61487;977.77409999999998;1155.8036999999999;866.61847;1406.9249;795.74315999999999;1241.3163;890.89350000000002;1133.4971;1662.6853000000001;Cluster_12519;2232;2;244.2187925;1;37.70918841;10386;M+H;RP
14;247.2414966;999;38.67006145;61;111;1;57;18.0111058;7e-04;111;Cluster_08186;NaN;1659.4988;2389.9243;1593.4233;635.56903;784.96259999999995;1218.3644999999999;749.17619999999999;1405.1442999999999;1940.8788;3185.7483000000002;2019.1129000000001;2916.893;3674.1806999999999;Cluster_08186;2252;2;246.2342206;1;38.67006145;10499;M+H;RP
15;252.2313564;999;30.57572659;2270;213;1;308;26.0161832;0.9458;213;Cluster_01332;NaN;23891.336;21517.393;23894.73;21709.021000000001;23984.182000000001;24857.99;27392.309000000001;25027.855;9710.625;31502.776999999998;38087.766000000003;24931.113000000001;22570.883000000002;Cluster_01332;2281;3;251.2240804;1;30.57572659;10709;M+H;RP
16;252.2314012;999;30.0345881;476;92/179/180/218;1/1/1/1;1585/56/238/22;14.0163243/24.0000748/24.0000869/26.0162733;0.8491/0.6215/0.2721/0.8636;92/179/180/218;Cluster_12526;NaN;847.9577;902.57697;850.23315;348.07898;434.87698;561.45740000000001;561.66625999999997;507.64605999999998;1079.6139000000001;882.04645000000005;975.59220000000005;349.11736999999999;1698.8226;Cluster_12526;2282;2;251.2241252;1;30.0345881;10707;M+H;RP
